	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Pou6f1	22.6995505684948	54.8123561827248	51.1859983971802	42.3422541495376	52.3915600553125	22.9912571923852	29.1261537480715	39.2290655051077	33.0841867850482
Slc4a8	13.095894558747	16.8283549683804	18.6759723881603	14.600777292944	16.7816715802173	22.9912571923852	19.4174358320477	16.0482540702713	31.3429137963615
Scn8a	43.65298186249	48.5618243373263	59.4864305696959	60.5932257657177	52.8008691182447	65.4366550860194	67.961025412167	65.9761556222267	66.1683735700965
Pfdn5	55.8758167839872	74.5255720028275	58.7947278886529	64.2434200889537	62.2149775656836	47.7510726303385	32.3623930534128	57.0604589165204	38.3080057511085
Map3k12	31.4301469409928	28.8486085172236	30.4349179658909	29.201554585888	31.516797845774	19.454140701249	16.1811965267064	28.5302294582602	22.6365488529277
Ppp1r1a	13.9689541959968	23.5596969557326	30.4349179658909	29.201554585888	22.9213075241992	14.1484659645447	14.5630768740358	12.4819753879888	15.6714568981807
Adcy9	16.5881331077462	7.21215212930589	13.1423509398165	12.4106606990024	13.0978900138281	26.5283736835214	12.9449572213651	17.8313934114126	26.1190948303012
Gm6142	1.7461192744996	1.9232405678149	2.07510804312893	1.4600777292944	2.04654531466065	5.30567473670428	8.09059826335321	3.56627868228252	3.4825459773735
Gm56602	1.7461192744996	1.9232405678149	1.38340536208595	2.1901165939416	0.409309062932129	7.07423298227237	1.61811965267064	8.9156967057063	0
Cdip1	55.0027571467374	42.3112924919279	54.6445118023951	56.9430314424817	46.6612331742627	72.5108880682918	80.9059826335321	42.7953441873903	85.3223764456507
Rogdi	52.383578234988	28.3677983752698	38.7353501384066	51.102720525304	42.5681425449414	63.6680968404513	46.9254699274486	60.6267375988029	52.2381896606025
Rbfox1	17.461192744996	23.5596969557326	28.359809922762	24.0912825333576	31.9261069087061	14.1484659645447	19.4174358320477	12.4819753879888	19.1540028755542
Mettl22	4.365298186249	7.69296227125961	3.45851340521488	5.8403109171776	6.13963594398194	3.53711649113619	4.85435895801192	0	1.74127298868675
Abat	72.4639498917333	73.0831415769663	58.10302520761	71.5438087354257	65.8987591320728	42.4453978936342	58.2523074961431	71.3255736456504	41.790551728482
Usp7	41.9068625879904	37.0223809304369	31.1266206469339	26.2813991272992	32.3354159716382	28.2969319290895	27.5080340954009	26.7470901171189	17.4127298868675
Hapstr1	8.730596372498	10.0970129810282	8.30043217251571	12.4106606990024	8.59549032157471	7.07423298227237	3.23623930534128	8.9156967057063	3.4825459773735
Gm10247	4.365298186249	4.32729127758353	5.5336214483438	7.30038864647201	4.91170875518555	5.30567473670428	11.3268375686945	7.13255736456504	13.930183909494
Clec16a	18.3342523822458	18.7515955361953	13.8340536208595	11.6806218343552	19.6468350207422	8.84279122784046	9.70871791602385	8.9156967057063	13.930183909494
Gm26822	0	0	0	0.730038864647201	0.818618125864258	0	6.47247861068257	7.13255736456504	0
Litaf	5.2383578234988	5.76972170344471	3.45851340521488	5.8403109171776	4.91170875518555	0	1.61811965267064	0	5.22381896606025
Snx29	1.7461192744996	1.44243042586118	3.45851340521488	2.1901165939416	1.63723625172852	1.76855824556809	0	0	0
Ercc4	4.365298186249	6.25053184539844	5.5336214483438	5.1102720525304	4.09309062932129	1.76855824556809	4.85435895801192	1.78313934114126	0
Gm15950	0.873059637249799	0	0.691702681042976	1.4600777292944	0.409309062932129	7.07423298227237	3.23623930534128	3.56627868228252	1.74127298868675
Ube2v2	13.9689541959968	23.5596969557326	8.30043217251571	2.9201554585888	4.50239969225342	17.6855824556809	40.452991316766	17.8313934114126	24.3778218416145
Cebpd	0.873059637249799	0.961620283907452	4.15021608625785	1.4600777292944	1.22792718879639	10.6113494734086	3.23623930534128	1.78313934114126	1.74127298868675
